start_ref,end_ref,span,half_span_length,heb,repetitions,tfidf
Genesis 1 1,Genesis 2 20,51,12,שׁמימ,15,0.09105479846787136
Genesis 1 4,Genesis 1 18,15,3,בינ,9,0.05263509293234405
Genesis 1 5,Genesis 1 31,27,6,ערב,6,0.03213698769454283
Genesis 1 5,Genesis 1 31,27,6,בקר,6,0.023840636972946725
Genesis 1 6,Genesis 1 20,15,3,רקיע,9,0.12151204269605725
Genesis 1 7,Genesis 2 21,46,11,תחת,3,0.018787624086481138
Genesis 1 11,Genesis 1 12,2,0,דשׁא,3,0.03669727884981414
Genesis 1 11,Genesis 3 3,49,12,ב,6,0.028165693960448695
Genesis 1 12,Genesis 2 10,30,7,יצא,3,0.013463296256042496
Genesis 1 14,Genesis 1 18,5,1,לילה,3,0.021897095142109368
Genesis 1 15,Genesis 1 18,4,1,אור,3,0.05929256263398594
Genesis 1 16,Genesis 1 16,1,0,מאור,3,0.04581449998981036
Genesis 1 16,Genesis 3 7,48,12,שׁנימ,3,0.03983580944558784
Genesis 1 16,Genesis 1 21,6,1,גדול,3,0.019695280616724955
Genesis 1 19,Genesis 1 31,13,3,ערב,3,0.03213698769454283
Genesis 1 19,Genesis 1 31,13,3,בקר,3,0.023840636972946725
Genesis 1 20,Genesis 1 22,3,0,מימ,3,0.04768127394589345
Genesis 1 20,Genesis 1 21,2,0,שׁרצ,3,0.02638288634854278
Genesis 1 20,Genesis 2 19,31,7,נפשׁ,6,0.02339880178041829
Genesis 1 20,Genesis 2 20,32,8,עופ,9,0.08683387024283136
Genesis 1 21,Genesis 2 4,15,3,ברא,6,0.11697165133291518
Genesis 1 21,Genesis 3 20,56,14,כל,36,0.20028937927430182
Genesis 1 22,Genesis 1 28,7,1,ימ,3,0.021424658463028556
Genesis 1 22,Genesis 2 3,13,3,ברכ,3,0.020530128991805525
Genesis 1 24,Genesis 2 24,32,8,כנ,3,0.032592935000935505
Genesis 1 24,Genesis 1 30,7,1,רמשׂ,6,0.09056886519224314
Genesis 1 24,Genesis 3 22,55,13,חיה,9,0.12977260402621021
