start_ref,end_ref,span,half_span_length,heb,repetitions,tfidf
Genesis 1 4,Genesis 3 6,59,14,ראה,10,0.04538328107099283
Genesis 1 11,Genesis 1 29,19,4,זרע,10,0.05263509293234405
Genesis 1 11,Genesis 1 25,15,3,מינ,10,0.13823922430253613
Genesis 2 15,Genesis 4 19,54,13,לקח,10,0.04219075911917135
Genesis 3 7,Genesis 4 25,43,10,ל,10,0.07329974824957156
Genesis 4 18,Genesis 5 31,40,10,למכ,10,0.13501338077339692
Genesis 5 5,Genesis 6 21,49,12,אשׁר,10,0.10640373273947284
Genesis 4 24,Genesis 5 31,34,8,שׁבע,10,0.037024064704116864
Genesis 5 4,Genesis 5 28,25,6,שׁמנה,10,0.07643492825216151
Genesis 5 5,Genesis 5 30,26,6,תשׁע,10,0.0789398820389376
Genesis 5 29,Genesis 6 13,17,4,נח,10,0.1345566891159852
Genesis 6 20,Genesis 8 19,46,11,מנ,10,0.044916957738519
Genesis 7 4,Genesis 9 15,58,14,עוד,10,0.04237665017174178
Genesis 7 15,Genesis 9 17,49,12,בשׂר,10,0.06814571112564087
Genesis 8 7,Genesis 10 14,59,14,יצא,10,0.03660095412300754
Genesis 8 9,Genesis 9 23,37,9,לא,10,0.040218846398231936
Genesis 8 15,Genesis 10 9,46,11,אמר,10,0.04640636122872916
Genesis 9 19,Genesis 11 10,53,13,אלה,10,0.040663487889203036
Genesis 12 6,Genesis 14 23,56,14,עד,10,0.040667128863194804
Genesis 13 1,Genesis 15 18,60,15,הוא,10,0.03993363475692279
Genesis 13 3,Genesis 15 18,58,14,עד,10,0.040667128863194804
Genesis 14 3,Genesis 16 12,55,13,הוא,10,0.03993363475692279
Genesis 15 4,Genesis 17 15,49,12,כי,10,0.06988386082461488
Genesis 17 5,Genesis 17 26,22,5,אברהמ,10,0.06455106005046721
Genesis 18 6,Genesis 18 15,10,2,שׂרה,10,0.23297483242020464
Genesis 18 11,Genesis 19 34,57,14,היה,10,0.05955665962056517
Genesis 18 12,Genesis 19 12,34,8,ל,10,0.1415154370619675
Genesis 18 26,Genesis 19 19,27,6,מצא,10,0.053901090622920644
Genesis 19 8,Genesis 20 12,43,10,בת,10,0.042806716981390824
Genesis 19 13,Genesis 21 1,45,11,יהוה,10,0.08921280915436441
Genesis 19 20,Genesis 21 22,59,14,היא,10,0.048564229435139786
Genesis 19 21,Genesis 21 13,49,12,גמ,10,0.06595370480079975
Genesis 20 7,Genesis 21 22,34,8,כל,10,0.07279147286957965
Genesis 20 8,Genesis 22 1,46,11,דבר,10,0.09264407104491688
Genesis 21 14,Genesis 22 13,34,8,לקח,10,0.06519397592049707
Genesis 21 14,Genesis 22 19,40,10,הלכ,10,0.06421007547208624
Genesis 23 4,Genesis 24 43,60,15,אנכי,10,0.08523200241009675
Genesis 23 4,Genesis 24 27,44,11,עמ,10,0.06722639577042105
Genesis 24 22,Genesis 25 1,47,11,לקח,10,0.07346492953088277
Genesis 24 34,Genesis 25 23,57,14,עבד,10,0.08625994604684545
Genesis 24 37,Genesis 25 20,51,12,לקח,10,0.07346492953088277
Genesis 24 41,Genesis 25 19,46,11,אלה,10,0.05020707417869596
Genesis 25 7,Genesis 25 26,20,5,שׁנה,10,0.07004659858488138
Genesis 25 19,Genesis 26 24,40,10,אברהמ,10,0.11043046919893089
Genesis 25 20,Genesis 26 34,49,12,אשׁה,10,0.07436054621689528
Genesis 25 24,Genesis 27 2,48,12,יומ,10,0.052863808837562254
Genesis 25 25,Genesis 27 9,54,13,שׁמ,20,0.11596313456619176
Genesis 25 27,Genesis 27 11,54,13,אישׁ,10,0.039931512308920926
Genesis 26 3,Genesis 26 29,27,6,עמ,10,0.05904193170770019
Genesis 26 13,Genesis 27 14,37,9,הלכ,10,0.10653503375417599
Genesis 26 15,Genesis 26 33,19,4,באר,10,0.112553423948096
Genesis 26 34,Genesis 28 9,57,14,בת,10,0.05580406529980647
Genesis 28 14,Genesis 29 25,34,8,היה,10,0.077221633101597
Genesis 28 15,Genesis 30 16,59,14,עמ,10,0.08305244961778056
Genesis 29 6,Genesis 30 21,51,12,בת,10,0.06890092856282316
Genesis 29 16,Genesis 30 20,40,10,לאה,20,0.19564807156009625
Genesis 30 30,Genesis 31 46,60,15,עשׂה,10,0.04260503895260525
Genesis 30 32,Genesis 31 48,60,15,יומ,10,0.04418318377540055
Genesis 31 19,Genesis 32 21,57,14,הלכ,10,0.06201083570654085
Genesis 31 26,Genesis 32 1,30,7,בת,10,0.06890092856282316
Genesis 31 46,Genesis 32 31,40,10,שׁמ,10,0.09333146575149665
Genesis 32 14,Genesis 33 20,40,10,שׁמ,10,0.10004409339117847
Genesis 32 20,Genesis 34 20,54,13,דבר,10,0.03972208423068797
Genesis 32 24,Genesis 34 23,53,13,ל,30,0.12001881289088395
Genesis 33 1,Genesis 34 1,21,5,ילד,10,0.10858341315585597
Genesis 33 18,Genesis 35 5,39,9,עיר,10,0.06625260120350744
Genesis 35 1,Genesis 35 15,15,3,אלהימ,10,0.06025512601950711
Genesis 35 3,Genesis 36 29,56,14,ענה,10,0.05562859820048318
Genesis 36 15,Genesis 36 42,28,7,אלופ,40,0.4952172353496922
Genesis 37 12,Genesis 38 19,44,11,הלכ,10,0.056707047552268894
Genesis 37 32,Genesis 38 26,31,7,בנ,10,0.06574673648035721
Genesis 38 6,Genesis 39 19,44,11,אשׁה,10,0.053783643342031055
Genesis 39 1,Genesis 40 22,45,11,יוספ,20,0.3335296633072397
Genesis 39 3,Genesis 40 20,41,10,עשׂה,10,0.05259738918428577
Genesis 39 2,Genesis 40 7,29,7,אדונ,10,0.10078023496758774
Genesis 41 3,Genesis 41 39,37,9,אחר,10,0.044374437322841624
Genesis 41 5,Genesis 41 27,23,5,שׁבלת,10,0.12961626824072278
Genesis 42 15,Genesis 43 29,53,13,אמ,10,0.0469205695872171
Genesis 42 16,Genesis 43 18,41,10,לקח,10,0.03427278319742403
Genesis 43 14,Genesis 44 17,38,9,אשׁר,20,0.12618564105057828
Genesis 44 21,Genesis 46 4,46,11,ירד,10,0.07186063435738785
Genesis 44 30,Genesis 46 27,60,15,נפשׁ,10,0.05345733387778318
Genesis 46 28,Genesis 47 29,36,9,אל,20,0.23594216662318288
Genesis 46 30,Genesis 47 30,35,8,אמר,20,0.2016233060234472
Genesis 47 28,Genesis 49 26,52,13,היה,10,0.06466948581543383
Genesis 48 3,Genesis 49 28,48,12,ברכ,10,0.10606037248186263
Exodus 1 1,Exodus 2 21,43,10,אישׁ,10,0.04450053416324806
Exodus 2 14,Exodus 4 16,50,12,דבר,10,0.11503636545458965
Exodus 2 15,Exodus 4 20,53,13,ארצ,10,0.08249401552702898
Exodus 3 6,Exodus 4 23,40,10,אנכי,10,0.0528870577111176
Exodus 4 9,Exodus 6 5,51,12,גמ,10,0.062218832544655565
Exodus 4 12,Exodus 6 7,50,12,עמ,20,0.10484232267625455
Exodus 5 5,Exodus 6 28,47,11,ארצ,10,0.08249401552702898
Exodus 4 27,Exodus 5 18,23,5,הלכ,10,0.1261180549949643
Exodus 6 3,Exodus 7 24,52,13,לא,10,0.11824716658977198
Exodus 6 20,Exodus 8 5,45,11,ל,10,0.06020845012332453
Exodus 6 26,Exodus 8 18,52,13,על,20,0.10433573522626939
Exodus 7 18,Exodus 9 18,58,14,מנ,10,0.03606682118025153
Exodus 7 20,Exodus 8 22,32,8,כנ,10,0.05634337737002354
Exodus 8 6,Exodus 9 30,53,13,אלהימ,10,0.05926959286118756
Exodus 8 11,Exodus 9 29,47,11,היה,20,0.10085787738539374
Exodus 12 5,Exodus 12 46,42,10,מנ,10,0.05745386214455116
Exodus 12 27,Exodus 13 19,44,11,עמ,10,0.10541954455704472
Exodus 12 29,Exodus 13 15,38,9,בכר,10,0.11182004471411683
Exodus 14 4,Exodus 15 20,48,12,אחר,10,0.050975215538098285
Exodus 14 13,Exodus 16 5,51,12,יומ,10,0.09771147005162133
Exodus 15 3,Exodus 16 29,54,13,אישׁ,10,0.05025966591806034
Exodus 16 7,Exodus 16 24,18,4,בקר,10,0.06835969488276568
Exodus 16 15,Exodus 17 9,31,7,אישׁ,10,0.05025966591806034
Exodus 16 3,Exodus 16 35,33,8,אכל,10,0.05925797522689797
Exodus 18 1,Exodus 19 6,33,8,ישׂראל,10,0.07294613224058732
